dict_id,kata_asal,c_has_pair,a_has_pair,c_kalimat_asal,a_kalimat_asal,c_kalimat_tujuan,a_kalimat_tujuan,match_asal_strict,match_asal_normalized,match_asal_fuzzy,match_asal_fuzzy_score,match_tujuan_strict,match_tujuan_normalized,match_tujuan_fuzzy,match_tujuan_fuzzy_score,concatenation_candidate,outcome
42,berlabuh,True,True,-,tempat,-,paranti mingit,False,False,False,0.0,False,False,False,0.0,True,wrong_extraction
42,berlabuh,True,True,-,tempat,-,paranti mingit,False,False,False,0.0,False,False,False,0.0,True,wrong_extraction
42,berlabuh,True,True,-,tempat,-,paranti mingit,False,False,False,0.0,False,False,False,0.0,True,wrong_extraction
42,labial,True,False,-,,-,,False,False,False,0.0,False,False,False,0.0,False,missed_lemma
42,labil,True,False,-,,-,,False,False,False,0.0,False,False,False,0.0,False,missed_lemma
42,labil,True,False,-,,-,,False,False,False,0.0,False,False,False,0.0,False,missed_lemma
42,labil,True,False,-,,-,,False,False,False,0.0,False,False,False,0.0,False,missed_lemma
42,labil,True,False,-,,-,,False,False,False,0.0,False,False,False,0.0,False,missed_lemma
42,labium,True,False,-,,-,,False,False,False,0.0,False,False,False,0.0,False,missed_lemma
42,laboran,True,False,-,,-,,False,False,False,0.0,False,False,False,0.0,False,missed_lemma
42,laboratorium,True,False,-,,-,,False,False,False,0.0,False,False,False,0.0,False,missed_lemma
42,labrak,True,False,-,,-,,False,False,False,0.0,False,False,False,0.0,False,missed_lemma
42,labu,True,True,-,"Cucurbitaceae (loba rupana, spt labu",-,"air, labu putih, Lagenaria leucan- tha",False,False,False,0.0,False,False,False,0.0,True,wrong_extraction
42,labu,True,True,-,"Cucurbitaceae (loba rupana, spt labu",-,"air, labu putih, Lagenaria leucan- tha",False,False,False,0.0,False,False,False,0.0,True,wrong_extraction
42,labu,True,True,-,"Cucurbitaceae (loba rupana, spt labu",-,"air, labu putih, Lagenaria leucan- tha",False,False,False,0.0,False,False,False,0.0,True,wrong_extraction
42,labuh,True,False,-,,-,,False,False,False,0.0,False,False,False,0.0,False,missed_lemma
42,labuhan,True,True,upacara tradisional labuhan di Palabuhan Ratu dilaksanakeun ku para pamayang gawé bareflg jeung dinas pariwisata,upacara =di Palabuan Ratu dilaksanakan oleh para nelayan bersama-sama dgn dinas pariwisata,upacara labuhan di Palabuan Ratu dilaksanakan oleh para nelayan bersama-sama dengan dinas pariwisata,upacara tra- disional labuhan di Palabuhan Ratu dilaksanakeun ku para pamayang gawé bareflg jeung dinas pariwisata,False,False,False,0.365,False,False,False,0.394,False,wrong_extraction
42,lacak,True,False,-,,-,,False,False,False,0.0,False,False,False,0.0,False,missed_lemma
42,melabrak,True,False,-,,-,,False,False,False,0.0,False,False,False,0.0,False,missed_lemma
42,melabrak,True,False,-,,-,,False,False,False,0.0,False,False,False,0.0,False,missed_lemma
42,melabrak,True,False,-,,-,,False,False,False,0.0,False,False,False,0.0,False,missed_lemma
42,pelabuhan,True,False,-,,-,,False,False,False,0.0,False,False,False,0.0,False,missed_lemma
